species,site,count,latin,纲,目,Order,科,Family,属
金鳍稀棘鳚,美济礁,11,Meiacanthus atrodorsalis,辐鳍鱼纲,鲈形目,Perciformes,鳚科,Soleidae,稀棘鳚属
金鳍稀棘鳚,七连屿,1,Meiacanthus atrodorsalis,辐鳍鱼纲,鲈形目,Perciformes,鳚科,Soleidae,稀棘鳚属
金鳍稀棘鳚,永暑礁北沙洲,1,Meiacanthus atrodorsalis,辐鳍鱼纲,鲈形目,Perciformes,鳚科,Soleidae,稀棘鳚属
金色海猪鱼,美济礁,4,Halichoeres chrysus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
金色海猪鱼,七连屿,1,Halichoeres chrysus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
金色海猪鱼,永乐环礁,1,Halichoeres chrysus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
金头金翅雀鲷,美济礁,53,Chrysiptera chrysocephala,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,金翅雀鲷属
金头金翅雀鲷,七连屿,17,Chrysiptera chrysocephala,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,金翅雀鲷属
金头金翅雀鲷,永暑礁北沙洲,4,Chrysiptera chrysocephala,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,金翅雀鲷属
项带多棘鳞鲀,美济礁,1,Sufflamen bursa,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
镜斑蝴蝶鱼,漫步暗沙,1,Chaetodon speculum,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
镜斑蝴蝶鱼,美济礁,17,Chaetodon speculum,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
巨牙天竺鲷,美济礁,1,Cheilodipterus macrodon,辐鳍鱼纲,鲈形目,Perciformes,天竺鲷科,Apogonidae,巨牙天竺鲷属
锯尾副革鲀,七连屿,1,Paraluteres prionurus,辐鳍鱼纲,鲀形目,Tetraodontiformes,单角鲀科,Monacanthidae,副革鲀属
康德锯鳞鱼,美济礁,27,Myripristis kuntee,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,锯鳞鱼属
康德锯鳞鱼,七连屿,1,Myripristis kuntee,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,锯鳞鱼属
康德锯鳞鱼,永暑礁北沙洲,24,Myripristis kuntee,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,锯鳞鱼属
克氏双锯鱼,漫步暗沙,1,Amphiprion clarkii,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
